metric,current,baseline,delta,unit
pass_rate,0.6622,,,%
completion_rate,1.0,,,%
average_cost_vnd,15.96,,,VND
average_model_call_cost_vnd,21.88,,,VND/model call
model_calls,54,,,cases
zero_cost_turns,20,,,cases
average_latency_ms,1680.73,,,ms
duration_seconds,219.085,,,s
passed,49,,,cases
failed,25,,,cases
errors,0,,,cases
manual_review,0,,,cases
topic.ads.pass_rate,0.5,,,%
topic.ads.passed,4,,,cases
topic.ads.total,8,,,cases
topic.ads.average_cost_vnd,23.01,,,VND
topic.ads.average_latency_ms,2194.75,,,ms
topic.domain.pass_rate,1.0,,,%
topic.domain.passed,8,,,cases
topic.domain.total,8,,,cases
topic.domain.average_cost_vnd,1.99,,,VND
topic.domain.average_latency_ms,253.75,,,ms
topic.hosting_email.pass_rate,0.7143,,,%
topic.hosting_email.passed,5,,,cases
topic.hosting_email.total,7,,,cases
topic.hosting_email.average_cost_vnd,18.48,,,VND
topic.hosting_email.average_latency_ms,2093.0,,,ms
topic.process_contract.pass_rate,0.7143,,,%
topic.process_contract.passed,5,,,cases
topic.process_contract.total,7,,,cases
topic.process_contract.average_cost_vnd,9.6,,,VND
topic.process_contract.average_latency_ms,988.14,,,ms
topic.seo.pass_rate,0.5,,,%
topic.seo.passed,5,,,cases
topic.seo.total,10,,,cases
topic.seo.average_cost_vnd,22.02,,,VND
topic.seo.average_latency_ms,2185.4,,,ms
topic.trap.pass_rate,0.4286,,,%
topic.trap.passed,6,,,cases
topic.trap.total,14,,,cases
topic.trap.average_cost_vnd,10.16,,,VND
topic.trap.average_latency_ms,1281.64,,,ms
topic.website_design.pass_rate,0.8,,,%
topic.website_design.passed,16,,,cases
topic.website_design.total,20,,,cases
topic.website_design.average_cost_vnd,21.11,,,VND
topic.website_design.average_latency_ms,2171.05,,,ms
