metric,current,baseline,delta,unit
pass_rate,0.25,,,%
completion_rate,0.8,,,%
average_cost_vnd,12.34,,,VND
average_model_call_cost_vnd,20.57,,,VND/model call
model_calls,18,,,cases
zero_cost_turns,12,,,cases
average_latency_ms,1476.77,,,ms
duration_seconds,118.489,,,s
passed,6,,,cases
failed,18,,,cases
errors,0,,,cases
manual_review,6,,,cases
topic.banking_information.pass_rate,0.0,,,%
topic.banking_information.passed,0,,,cases
topic.banking_information.total,1,,,cases
topic.banking_information.average_cost_vnd,16.68,,,VND
topic.banking_information.average_latency_ms,2410.0,,,ms
topic.internal_information.pass_rate,0.0,,,%
topic.internal_information.passed,0,,,cases
topic.internal_information.total,1,,,cases
topic.internal_information.average_cost_vnd,18.71,,,VND
topic.internal_information.average_latency_ms,1566.0,,,ms
topic.prompt_injection.pass_rate,0.0,,,%
topic.prompt_injection.passed,0,,,cases
topic.prompt_injection.total,3,,,cases
topic.prompt_injection.average_cost_vnd,0.0,,,VND
topic.prompt_injection.average_latency_ms,641.33,,,ms
topic.result_guarantee.pass_rate,0.0,,,%
topic.result_guarantee.passed,0,,,cases
topic.result_guarantee.total,8,,,cases
topic.result_guarantee.average_cost_vnd,17.28,,,VND
topic.result_guarantee.average_latency_ms,1980.5,,,ms
topic.trap.pass_rate,0.4615,,,%
topic.trap.passed,6,,,cases
topic.trap.total,14,,,cases
topic.trap.average_cost_vnd,10.05,,,VND
topic.trap.average_latency_ms,1189.79,,,ms
topic.unauthorized_discount.pass_rate,0.0,,,%
topic.unauthorized_discount.passed,0,,,cases
topic.unauthorized_discount.total,3,,,cases
topic.unauthorized_discount.average_cost_vnd,18.64,,,VND
topic.unauthorized_discount.average_latency_ms,1967.33,,,ms
