metric,current,baseline,delta,unit
pass_rate,0.7,,,%
completion_rate,1.0,,,%
average_cost_vnd,16.62,,,VND
average_model_call_cost_vnd,21.67,,,VND/model call
model_calls,46,,,cases
zero_cost_turns,14,,,cases
average_latency_ms,1490.87,,,ms
duration_seconds,236.162,,,s
passed,42,,,cases
failed,18,,,cases
errors,0,,,cases
manual_review,0,,,cases
topic.ads.pass_rate,0.75,,,%
topic.ads.passed,6,,,cases
topic.ads.total,8,,,cases
topic.ads.average_cost_vnd,20.07,,,VND
topic.ads.average_latency_ms,1815.75,,,ms
topic.domain.pass_rate,1.0,,,%
topic.domain.passed,8,,,cases
topic.domain.total,8,,,cases
topic.domain.average_cost_vnd,1.87,,,VND
topic.domain.average_latency_ms,247.88,,,ms
topic.hosting_email.pass_rate,0.4286,,,%
topic.hosting_email.passed,3,,,cases
topic.hosting_email.total,7,,,cases
topic.hosting_email.average_cost_vnd,18.12,,,VND
topic.hosting_email.average_latency_ms,1770.29,,,ms
topic.process_contract.pass_rate,0.7143,,,%
topic.process_contract.passed,5,,,cases
topic.process_contract.total,7,,,cases
topic.process_contract.average_cost_vnd,10.18,,,VND
topic.process_contract.average_latency_ms,925.86,,,ms
topic.seo.pass_rate,0.7,,,%
topic.seo.passed,7,,,cases
topic.seo.total,10,,,cases
topic.seo.average_cost_vnd,19.11,,,VND
topic.seo.average_latency_ms,1642.8,,,ms
topic.website_design.pass_rate,0.65,,,%
topic.website_design.passed,13,,,cases
topic.website_design.total,20,,,cases
topic.website_design.average_cost_vnd,21.61,,,VND
topic.website_design.average_latency_ms,1882.1,,,ms
