2026-08-26 17:16:11,471 | INFO | Onboard tenant=h303_mima_auto | ngành=services | bắt đầu từ bước=config
2026-08-26 17:16:11,500 | INFO | [1/4] BẮT ĐẦU config
2026-08-26 17:16:11,543 | INFO | [config] HOÀN THÀNH trong 0.039s
2026-08-26 17:16:11,546 | INFO | [2/4] BẮT ĐẦU crawl
2026-08-26 17:16:11,547 | INFO | Lệnh: C:\Python314\python.exe crawl_chunks.py --base-url https://mimadigi.com --tenant-id h303_mima_auto --output outputs\h3_03\h303_mima_auto\chunks.json --manifest outputs\h3_03\h303_mima_auto\crawl_manifest.json --max-pages 15 --min-chunks 10 --chunk-size 900 --chunk-overlap 120 --min-chars 160 --delay-seconds 0.1 --timeout 20.0
2026-08-26 17:16:38,006 | INFO |   Xong: 15 trang, 8 chunks cho tenant 'h303_mima_auto'. Chunks: outputs\h3_03\h303_mima_auto\chunks.json; manifest: outputs\h3_03\h303_mima_auto\crawl_manifest.json
2026-08-26 17:16:38,006 | INFO |   ❌ Chưa đạt tối thiểu 10 chunks; xem page_errors/skipped trong manifest.
2026-08-26 17:16:38,080 | ERROR | [crawl] THẤT BẠI: OnboardingError: Lệnh thất bại với exit code 1
2026-08-26 17:16:38,082 | ERROR | Pipeline dừng có kiểm soát. Báo cáo: C:\Users\nghoa\Desktop\Chatbot - miama\outputs\h3_03\h303_mima_auto\summary.json
2026-08-26 17:16:38,083 | ERROR | Chạy lại: python scripts/onboard_tenant.py --url "https://mimadigi.com" --industry services --tenant-id h303_mima_auto --resume
2026-08-26 17:17:02,006 | INFO | Onboard tenant=h303_mima_auto | ngành=services | bắt đầu từ bước=crawl
2026-08-26 17:17:02,011 | INFO | [2/4] BẮT ĐẦU crawl
2026-08-26 17:17:02,011 | INFO | Lệnh: C:\Python314\python.exe crawl_chunks.py --base-url https://mimadigi.com --tenant-id h303_mima_auto --output outputs\h3_03\h303_mima_auto\chunks.json --manifest outputs\h3_03\h303_mima_auto\crawl_manifest.json --max-pages 30 --min-chunks 10 --chunk-size 900 --chunk-overlap 120 --min-chars 160 --delay-seconds 0.1 --timeout 20.0
2026-08-26 17:17:58,289 | INFO |   Xong: 30 trang, 54 chunks cho tenant 'h303_mima_auto'. Chunks: outputs\h3_03\h303_mima_auto\chunks.json; manifest: outputs\h3_03\h303_mima_auto\crawl_manifest.json
2026-08-26 17:17:58,378 | INFO | [crawl] HOÀN THÀNH trong 56.363s
2026-08-26 17:17:58,384 | INFO | [3/4] BẮT ĐẦU index
2026-08-26 17:17:58,385 | INFO | Lệnh: C:\Python314\python.exe index_chunks.py --tenant-id h303_mima_auto --input outputs\h3_03\h303_mima_auto\chunks.json --out-dir outputs\h3_03\h303_mima_auto\index
2026-08-26 17:18:05,685 | INFO |   Xong: 54 chunk tổng cộng — 54 embed mới, 0 lấy từ cache. Provider/model: gemini/gemini-embedding-001. Index lưu tại outputs\h3_03\h303_mima_auto\index/
2026-08-26 17:18:06,280 | INFO | [index] HOÀN THÀNH trong 7.892s
2026-08-26 17:18:06,284 | INFO | [4/4] BẮT ĐẦU smoke
