metric,current,baseline,delta,unit
pass_rate,1.0,,,%
completion_rate,1.0,,,%
average_cost_usd,0.001600075,,,USD
average_model_call_cost_usd,0.001600075,,,USD/model call
model_calls,15,,,cases
zero_cost_turns,0,,,cases
average_latency_ms,4219.13,,,ms
duration_seconds,33.797,,,s
passed,15,,,cases
failed,0,,,cases
errors,0,,,cases
manual_review,0,,,cases
topic.children.pass_rate,1.0,,,%
topic.children.passed,3,,,cases
topic.children.total,3,,,cases
topic.children.average_cost_usd,0.001370916667,,,USD
topic.children.average_latency_ms,3276.67,,,ms
topic.contact.pass_rate,1.0,,,%
topic.contact.passed,1,,,cases
topic.contact.total,1,,,cases
topic.contact.average_cost_usd,0.00166775,,,USD
topic.contact.average_latency_ms,7879.0,,,ms
topic.course_format.pass_rate,1.0,,,%
topic.course_format.passed,2,,,cases
topic.course_format.total,2,,,cases
topic.course_format.average_cost_usd,0.0015989375,,,USD
topic.course_format.average_latency_ms,6313.5,,,ms
topic.enterprise.pass_rate,1.0,,,%
topic.enterprise.passed,7,,,cases
topic.enterprise.total,7,,,cases
topic.enterprise.average_cost_usd,0.001581428571,,,USD
topic.enterprise.average_latency_ms,3752.14,,,ms
topic.learner_needs.pass_rate,1.0,,,%
topic.learner_needs.passed,1,,,cases
topic.learner_needs.total,1,,,cases
topic.learner_needs.average_cost_usd,0.002148875,,,USD
topic.learner_needs.average_latency_ms,3510.0,,,ms
topic.online.pass_rate,1.0,,,%
topic.online.passed,1,,,cases
topic.online.total,1,,,cases
topic.online.average_cost_usd,0.001803875,,,USD
topic.online.average_latency_ms,3176.0,,,ms
