metric,current,baseline,delta,unit
pass_rate,0.9286,,,%
completion_rate,0.9333,,,%
average_cost_usd,0.00153915,,,USD
average_model_call_cost_usd,0.001649089286,,,USD/model call
model_calls,14,,,cases
zero_cost_turns,1,,,cases
average_latency_ms,4299.6,,,ms
duration_seconds,32.667,,,s
passed,13,,,cases
failed,1,,,cases
errors,1,,,cases
manual_review,0,,,cases
topic.catalogue.pass_rate,1.0,,,%
topic.catalogue.passed,2,,,cases
topic.catalogue.total,3,,,cases
topic.catalogue.average_cost_usd,0.001317916667,,,USD
topic.catalogue.average_latency_ms,5525.0,,,ms
topic.delivery.pass_rate,1.0,,,%
topic.delivery.passed,1,,,cases
topic.delivery.total,1,,,cases
topic.delivery.average_cost_usd,0.001983875,,,USD
topic.delivery.average_latency_ms,5851.0,,,ms
topic.fuma.pass_rate,1.0,,,%
topic.fuma.passed,2,,,cases
topic.fuma.total,2,,,cases
topic.fuma.average_cost_usd,0.001293525,,,USD
topic.fuma.average_latency_ms,3215.5,,,ms
topic.nutrition.pass_rate,1.0,,,%
topic.nutrition.passed,2,,,cases
topic.nutrition.total,2,,,cases
topic.nutrition.average_cost_usd,0.0015371875,,,USD
topic.nutrition.average_latency_ms,3385.5,,,ms
topic.policy.pass_rate,1.0,,,%
topic.policy.passed,1,,,cases
topic.policy.total,1,,,cases
topic.policy.average_cost_usd,0.001834,,,USD
topic.policy.average_latency_ms,6859.0,,,ms
topic.seasonings.pass_rate,1.0,,,%
topic.seasonings.passed,3,,,cases
topic.seasonings.total,3,,,cases
topic.seasonings.average_cost_usd,0.001673958333,,,USD
topic.seasonings.average_latency_ms,3226.33,,,ms
topic.snacks.pass_rate,0.6667,,,%
topic.snacks.passed,2,,,cases
topic.snacks.total,3,,,cases
topic.snacks.average_cost_usd,0.001544108333,,,USD
topic.snacks.average_latency_ms,4109.33,,,ms
