metric,current,baseline,delta,unit
pass_rate,0.6667,,,%
completion_rate,0.15,,,%
average_cost_usd,2.3525e-05,,,USD
average_model_call_cost_usd,0.0004705,,,USD/model call
model_calls,1,,,cases
zero_cost_turns,19,,,cases
average_latency_ms,380.5,,,ms
duration_seconds,19.275,,,s
passed,2,,,cases
failed,1,,,cases
errors,17,,,cases
manual_review,0,,,cases
topic.budget.pass_rate,0.0,,,%
topic.budget.passed,0,,,cases
topic.budget.total,2,,,cases
topic.budget.average_cost_usd,0.0,,,USD
topic.budget.average_latency_ms,127.5,,,ms
topic.guardrail.pass_rate,0.5,,,%
topic.guardrail.passed,1,,,cases
topic.guardrail.total,2,,,cases
topic.guardrail.average_cost_usd,0.0,,,USD
topic.guardrail.average_latency_ms,35.5,,,ms
topic.handoff.pass_rate,1.0,,,%
topic.handoff.passed,1,,,cases
topic.handoff.total,2,,,cases
topic.handoff.average_cost_usd,0.0,,,USD
topic.handoff.average_latency_ms,82.5,,,ms
topic.pricing.pass_rate,0.0,,,%
topic.pricing.passed,0,,,cases
topic.pricing.total,4,,,cases
topic.pricing.average_cost_usd,0.0,,,USD
topic.pricing.average_latency_ms,96.0,,,ms
topic.pricing_contact.pass_rate,0.0,,,%
topic.pricing_contact.passed,0,,,cases
topic.pricing_contact.total,2,,,cases
topic.pricing_contact.average_cost_usd,0.0,,,USD
topic.pricing_contact.average_latency_ms,105.0,,,ms
topic.process.pass_rate,0.0,,,%
topic.process.passed,0,,,cases
topic.process.total,1,,,cases
topic.process.average_cost_usd,0.0,,,USD
topic.process.average_latency_ms,90.0,,,ms
topic.services.pass_rate,0.0,,,%
topic.services.passed,0,,,cases
topic.services.total,4,,,cases
topic.services.average_cost_usd,0.000117625,,,USD
topic.services.average_latency_ms,1003.75,,,ms
topic.small_talk.pass_rate,0.0,,,%
topic.small_talk.passed,0,,,cases
topic.small_talk.total,3,,,cases
topic.small_talk.average_cost_usd,0.0,,,USD
topic.small_talk.average_latency_ms,806.67,,,ms
